movieID,personID
10323,927468
13442,3638
15648,1178
17136,485
17925,115669
19254,3433
20629,587277
20640,373511
20697,903049
21814,115218
21814,5713
21884,1843
22100,485
22111,215877
22913,115218
23027,572851
23245,5713
23969,564970
24184,1843
24216,178260
24216,774325
25316,1008
25452,33
25878,886754
26029,33
26138,1843
26752,515979
26778,939992
26778,332539
27125,762263
28010,478441
28772,939992
28950,719756
29162,1008
29546,762263
29583,183183
29583,359457
29583,414144
29583,604392
29583,668998
29583,789313
29843,2031
29843,445033
29947,1328
29992,547446
30341,33
31381,281808
31381,2030
31381,939992
31580,485943
31580,782682
31679,1008
31725,523932
31742,587277
31971,406
32138,281808
32138,2030
32138,503777
32138,851537
32138,861703
32138,896542
32455,19282
32455,35899
32455,1968474
32455,272568
32455,359457
32455,359610
32484,33
32551,406
32599,1328
32904,2030
32910,272568
32910,373429
32910,414144
32910,455741
32910,527217
32910,730860
32976,33
33045,523932
33563,35899
33563,272568
33563,414144
33563,455741
33563,730860
33563,789313
33729,406
33804,2545
33870,1379
33891,1008
34240,2545
34248,33
34492,19282
34492,35899
34492,359457
34492,373871
34492,730860
34492,766402
34583,2031
34862,762263
34862,20980
35423,3506
35446,523932
36342,33
36613,1008
36775,697
36855,2030
36868,943758
37008,695937
37017,33
37059,591486
37382,1328
37558,180
37674,138893
37884,697
37913,2031
38109,33
38166,272568
38166,314671
38166,455741
38166,730860
38166,949597
38348,168413
38348,167496
38355,1328
38559,896533
38650,1008
38787,33
38969,287836
38969,414144
39420,581
39628,780833
39689,869664
40068,59106
40068,487237
40506,1379
40522,1120
40746,33
40897,1379
41090,2030
41546,357607
41716,2045
41959,715346
42192,581
42208,1379
42332,314671
42332,414144
42332,527217
42451,591486
42546,467396
42876,41
43014,697
43265,1379
43274,314671
43274,414144
43274,527217
43274,455741
43278,591486
43456,936404
44079,33
44081,1415
44121,638528
44121,1328
44706,3593
44741,41
45061,406
45152,2045
45793,3593
45810,1328
46183,314671
46183,414144
46183,527217
46183,455741
46250,943758
46268,167241
46303,828419
46359,697
46435,624535
46438,654868
46534,5738
46672,281507
46816,229424
46876,791
46911,167241
46912,33
47034,393094
47296,1415
47396,33
47437,697
47478,41
47528,19
47573,235066
47673,2031
48028,1415
48140,581
48280,314671
48280,414144
48280,527217
48281,533241
48356,542720
48380,406
48380,503777
48380,517597
48424,1452
48545,712947
48605,697
48728,33
48750,33
48960,27183
48960,268513
49223,928208
49261,828419
49366,796923
49406,40
49408,485943
49470,33
49730,406
49833,1124
50083,1486
50105,564970
50212,180
50419,2045
50613,41
50783,19
50798,829038
50825,40
50976,5
50986,5
51036,533241
51201,697
51337,432846
51383,196536
51418,947105
51418,234893
51459,112218
51622,627087
51658,591486
51658,910199
51808,41
52027,836328
52027,3593
52077,248
52151,936404
52225,517597
52357,33
52561,695937
52618,943758
52722,829038
53125,33
53198,76
53221,1328
53271,59106
53285,314671
53285,164203
53285,527217
53285,718627
53291,697
53472,419
53604,697
53779,19
53946,6452
54033,339
54047,836328
54135,587277
54167,3836
54195,842582
54215,33
54331,40
54357,2175
54387,657162
54443,727211
54649,232902
54698,1175
54953,496746
54997,744035
55031,6452
55032,76
55254,314671
55254,527217
55254,718627
55277,842582
55614,730385
55614,936404
55630,41
55824,496746
55928,950109
56172,180
56193,40
56197,2175
56197,554249
56197,652631
56197,926919
56197,953123
56217,406
56218,1239
56443,41
56592,612322
56687,736
56801,19
56869,33
56923,2045
57012,40
57076,950109
57115,836328
57129,936404
57163,728688
57193,6452
57261,111656
57413,1175
57546,718627
57546,314671
57546,359457
57590,724798
58083,1486
58150,357891
58182,504513
58329,33
58331,829038
58385,2030
58450,218840
58461,1466
58586,1175
58777,256831
58898,419
58946,690597
59017,799033
59113,180
59243,1175
59260,504513
59578,1466
59646,591
59742,936404
59793,829038
59800,950109
60107,1789
60176,774
60196,1466
60390,76
60397,281507
60665,3593
60827,5
61184,1566
61385,757256
61395,320
61418,671957
61512,742341
61578,736
61584,281507
61722,1566
61735,6452
61747,692872
61809,112218
61811,422484
61852,718627
61852,19282
61852,455741
62229,578483
62376,165412
62467,950109
62512,318150
62622,40
62711,671862
62765,946811
62803,400731
63227,367431
63350,1681
63374,757256
63385,715346
63442,769874
63462,316
63518,1874
63522,591
63688,422484
63823,242945
64115,1351
64116,1466
64505,172772
64603,829038
64665,772259
64757,402597
65088,1628
65126,368871
65207,404606
65214,1603
65377,780833
65377,368871
65421,718627
65462,692872
65528,1566
65571,934
65724,706182
65777,1120
65938,404606
65988,671957
66011,2137
66026,265
66206,769874
66434,184
66473,281507
66473,297935
66473,557927
66765,534084
66769,936404
66817,829038
66817,453832
66892,1566
66921,40
66995,357891
66999,796923
67065,852279
67093,422484
67116,1243
67185,797
67309,1587
67328,953
67411,265
67525,755963
67741,662953
67800,1603
67959,1676
67992,835799
68182,1348
68327,2080
68334,6916
68361,320
68408,496746
68473,958
68611,33
68646,338
68762,1628
69089,691
69097,6889
69113,623768
69281,581
69293,1789
69704,184
69762,517
69768,496746
69947,3593
69995,1676
70016,629363
70016,847314
70034,167195
70047,1243
70290,797
70328,357891
70334,265
70355,692872
70379,217
70509,108745
70510,953
70511,769874
70544,482537
70608,718627
70608,359457
70666,1486
70723,281507
70735,1351
70849,934
70903,1628
70909,341
70917,362736
71230,316
71315,591
71360,338
71402,935382
71411,41
71562,338
71771,736
71807,357891
71853,1402
71877,1486
72081,1175
72251,765121
72271,1361
72308,347086
72431,316
72653,865709
72684,40
72890,1486
72951,396421
73195,229
73341,1379
73440,265
73486,1232
73540,1837
73629,788940
73692,797
73747,285302
73802,1628
73812,1692
74119,1587
74156,118
74174,6916
74285,361
74486,186
74751,347086
74812,27183
74851,1676
74860,772259
74937,601800
74958,1486
75005,1149
75066,1175
75148,814
75314,217
75784,277
75860,229
